Company Name,Financial Year,PSU/Non-PSU,CSR State,CSR Development Sector,CSR Sub Development Sector,Project Amount Spent (In INR Cr.)
Parag Milk Foods Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Meenakshi Energy Private Limited,FY 2014-15,Non-PSU,Andhra Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Calderys India Refractories Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Innoventive Industries Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.99
Sree Rayalaseema Alkalies And Allied Chemicals Ltd,FY 2014-15,Non-PSU,Andhra Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.5
Cairn India Limited,FY 2014-15,Non-PSU,Rajasthan,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",2.06
K.P.R. Mill Limited,FY 2014-15,Non-PSU,Tamil Nadu,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
C R I Pumps Private Limited,FY 2014-15,Non-PSU,Karnataka,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04
Balaji Amines Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.06
Sonear Industries Limited,FY 2014-15,Non-PSU,Delhi,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Ramboll India Private Limited,FY 2014-15,Non-PSU,West Bengal,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.28
Godawari Power And Ispat Limited,FY 2014-15,Non-PSU,Chhattisgarh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Tata Sponge Iron Limited,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.08
Nirmal Bang Securities Private Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Macquarie Capital Securities (India) Private Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.56
Jk Lakshmi Cement Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.07
Corning Technologies India Private Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Corning Technologies India Private Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Radico Khaitan Limited,FY 2014-15,Non-PSU,Uttar Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Sandhar Technologies Limited,FY 2014-15,Non-PSU,Haryana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.32
Indo- National Limited,FY 2014-15,Non-PSU,Andhra Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.09
Acb (India) Limited,FY 2014-15,Non-PSU,Chhattisgarh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
Nava Bharat Projects Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.11
Godawari Power And Ispat Limited,FY 2014-15,Non-PSU,Chhattisgarh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
York Print Private Limited,FY 2014-15,Non-PSU,Assam,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Kanam Latex Industries Pvt Ltd,FY 2014-15,Non-PSU,Tamil Nadu,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.12
Ampa Housing Development Private Limited,FY 2014-15,Non-PSU,Tamil Nadu,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
AJNARA INDIA LIMITED,FY 2014-15,Non-PSU,Uttar Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Ykk India Private Limited,FY 2014-15,Non-PSU,Haryana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Kanam Latex Industries Pvt Ltd,FY 2014-15,Non-PSU,Kerala,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.25
Citrix R&D India Private Limited,FY 2014-15,Non-PSU,Karnataka,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.35
Nseit Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Security Printing And Minting Corporation Of India Limited,FY 2014-15,PSU,Andhra Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.15
