mca_preliminary_rank,company_name,latest_financial_year,total_wash_spend_crore,total_water_spend_crore,total_sanitation_spend_crore,states,nse_annual_report_status,bse_disclosure_status,csr_policy_status,brsr_status,latest_document_year,document_url,retrieved_on,ai_analysis_status
1,INDIAN OIL CORPORATION LIMITED,FY2024-25,258.82352944,99.458378301,159.365151139,"Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chhattisgarh, Delhi, Gujarat, Haryana, Himachal Pradesh, Jammu And Kashmir, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Pan India, Punjab, Rajasthan, Sikkim, Tamil Nadu, Telangana, Tripura, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
2,CENTRAL COALFIELDS LIMITED,FY2024-25,208.05112704,30.177458054,177.873668986,Jharkhand,PENDING,PENDING,PENDING,PENDING,,,,PENDING
3,GAIL (INDIA) LIMITED,FY2024-25,137.83501479,55.633826106,82.201188684,"Andhra Pradesh, Assam, Bihar, Chandigarh, Chhattisgarh, Delhi, Gujarat, Himachal Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Pan India, Puducherry, Rajasthan, Tamil Nadu, Telangana, Tripura, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
4,TATA STEEL LIMITED,FY2024-25,92.204949416,88.909293365,3.295656051,"Jharkhand, Maharashtra, Odisha, Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
5,POWER GRID CORPORATION OF INDIA LIMITED,FY2024-25,222.755022336,12.600568859,210.154453477,"Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chhattisgarh, Delhi, Gujarat, Haryana, Himachal Pradesh, Jammu And Kashmir, Jharkhand, Karnataka, Kerala, Ladakh, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Odisha, Pan India, Punjab, Rajasthan, Sikkim, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
6,HINDUSTAN ZINC LIMITED,FY2024-25,52.0064905,50.7122059,1.2942846,Rajasthan,PENDING,PENDING,PENDING,PENDING,,,,PENDING
7,REC LIMITED,FY2024-25,158.46956459999998,10.1847863,148.2847783,"Andhra Pradesh, Bihar, Delhi, Haryana, Maharashtra, Pan India, Punjab, Rajasthan, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
8,NESTLE INDIA LIMITED,FY2024-25,53.2174952,26.7368053,26.4806899,"Haryana, Jharkhand, Nec/Not Mentioned, Pan India, Punjab, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
9,NATIONAL ALUMINIUM CO LTD,FY2024-25,56.4111155,18.8510609,37.5600546,"Andhra Pradesh, Odisha, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
10,NORTHERN COALFIELDS LIMITED,FY2024-25,54.9524,21.1894,33.763,"Delhi, Madhya Pradesh, Maharashtra, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
11,DIVI'S LABORATORIES LIMITED,FY2024-25,38.7473758,38.022754,0.7246218,"Andhra Pradesh, Pan India, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
12,NLC INDIA LIMITED,FY2024-25,49.107992109,17.674172109,31.43382,"Odisha, Rajasthan, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
13,ICICI BANK LIMITED,FY2024-25,47.652288835,14.556654675,33.09563416,"Chhattisgarh, Madhya Pradesh, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
14,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,FY2024-25,40.8193528,10.0,30.8193528,"Karnataka, Maharashtra, Pan India, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
15,SOUTH EASTERN COALFIELDS LIMITED,FY2024-25,93.0932,6.0504,87.0428,"Chhattisgarh, Madhya Pradesh, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
16,BHARAT PETROLEUM CORPORATION LIMITED,FY2024-25,35.294701452,12.231538104,23.063163348,"Arunachal Pradesh, Assam, Bihar, Delhi, Gujarat, Jammu And Kashmir, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Pan India, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
17,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,FY2024-25,32.74074948,8.232285085,24.508464395,"Karnataka, Kerala",PENDING,PENDING,PENDING,PENDING,,,,PENDING
18,NEYVELI UTTAR PRADESH POWER LIMITED,FY2024-25,25.3377,8.8447,16.493000000000002,"Jharkhand, Pan India, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
19,JSW ENERGY LIMITED,FY2024-25,17.850792900000002,16.718796,1.1319969,"Himachal Pradesh, Karnataka, Maharashtra, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
20,DHARAMPAL SATYAPAL LIMITED,FY2024-25,17.8190056,17.4378,0.3812056,"Delhi, Gujarat, Rajasthan, Uttar Pradesh, Uttarakhand",PENDING,PENDING,PENDING,PENDING,,,,PENDING
21,JSW STEEL LIMITED,FY2024-25,24.2869764,6.4699185,17.817057900000002,"Pan India, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
22,NUMALIGARH REFINERY LTD,FY2024-25,23.058315535,7.430565504,15.627750031,"Assam, Bihar, Odisha, Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
23,NHPC LIMITED,FY2024-25,22.5440281,6.2432142,16.3008139,"Arunachal Pradesh, Assam, Haryana, Himachal Pradesh, Jammu And Kashmir, Ladakh, Maharashtra, Manipur, Pan India, Sikkim, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
24,JSW STEEL COATED PRODUCTS LIMITED,FY2024-25,12.6908143,12.4250166,0.2657977,Maharashtra,PENDING,PENDING,PENDING,PENDING,,,,PENDING
25,UNITED BREWERIES LIMITED,FY2024-25,12.5883383,12.5883383,0.0,"Haryana, Karnataka, Kerala, Maharashtra, Odisha, Pan India, Rajasthan, Tamil Nadu, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
26,HCL TECHNOLOGIES LIMITED,FY2024-25,25.8563149,4.3128,21.5435149,"Maharashtra, Pan India, Tamil Nadu, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
27,JINDAL POWER LIMITED,FY2024-25,12.0214,11.2093,0.8120999999999999,Chhattisgarh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
28,RUNGTA SONS PVT LTD,FY2024-25,11.9596678,8.0477273,3.9119405,"Jharkhand, Odisha, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
29,BASF CATALYSTS INDIA PRIVATE LIMITED,FY2024-25,10.8369173,10.6967693,0.140148,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
30,URANIUM CORPORATION OF INDIA LIMITED,FY2024-25,10.785048,9.6198645,1.1651835,"Andhra Pradesh, Jharkhand",PENDING,PENDING,PENDING,PENDING,,,,PENDING
31,CREDITACCESS GRAMEEN LIMITED,FY2024-25,12.531449371,6.157818,6.373631371,"Karnataka, Maharashtra, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
32,HINDUSTAN PETROLEUM CORPORATION LIMITED,FY2024-25,13.3114663,5.567222635,7.744243665,"Andhra Pradesh, Bihar, Delhi, Gujarat, Haryana, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Pan India, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
33,WESTERN COALFIELDS LIMITED,FY2024-25,9.7318304,7.283508100000001,2.4483223,"Madhya Pradesh, Maharashtra, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
34,DATWYLER PHARMA PACKAGING INDIA PRIVATE LIMITED,FY2024-25,8.6382356,8.6382356,0.0,Maharashtra,PENDING,PENDING,PENDING,PENDING,,,,PENDING
35,BARAMATI AGRO LIMITED,FY2024-25,8.5630581,8.5630581,0.0,"Karnataka, Maharashtra",PENDING,PENDING,PENDING,PENDING,,,,PENDING
36,TAMILNADU NEWSPRINT & PAPERS LIMITED,FY2024-25,8.3035,7.7771,0.5264,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
37,SESHASAYEE PAPER AND BOARDS LIMITED,FY2024-25,7.8991308,7.8991308,0.0,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
38,HINDUSTAN AERONAUTICS LIMITED,FY2024-25,27.2851429,1.7612,25.5239429,"Karnataka, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
39,HETERO LABS LIMITED,FY2024-25,7.25639,7.11039,0.146,"Andhra Pradesh, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
40,VIRBAC ANIMAL HEALTH INDIA PRIVATE LIMITED,FY2024-25,7.1341795,6.530069999999999,0.6041095,"Andhra Pradesh, Bihar, Gujarat, Haryana, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Pan India, Rajasthan, Telangana, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
41,THE RAMCO CEMENTS LIMITED,FY2024-25,7.033443759,7.033443759,0.0,"Andhra Pradesh, Karnataka, Pan India, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
42,AUROBINDO PHARMA LTD,FY2024-25,9.0442383,3.7735465,5.2706918,"Andhra Pradesh, Pan India, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
43,MUMBAI WASTE MANAGEMENT LIMITED,FY2024-25,7.0897575,5.0304639,2.0592936,"Andhra Pradesh, Karnataka, Madhya Pradesh, Maharashtra, Rajasthan, Telangana, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
44,BHUSHAN POWER & STEEL LIMITED,FY2024-25,6.221144313,5.628596263,0.59254805,Odisha,PENDING,PENDING,PENDING,PENDING,,,,PENDING
45,JSW ENERGY (BARMER) LIMITED,FY2024-25,6.079513171,5.298048671,0.7814645,"Pan India, Rajasthan",PENDING,PENDING,PENDING,PENDING,,,,PENDING
46,RUPA & COMPANY LTD,FY2024-25,5.676931506,5.676931506,0.0,West Bengal,PENDING,PENDING,PENDING,PENDING,,,,PENDING
47,LIC HOUSING FINANCE LTD,FY2024-25,7.3294615,2.4304793,4.8989822,"Andhra Pradesh, Jharkhand, Kerala, Pan India, Rajasthan, Tamil Nadu, Tripura, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
48,BOSCH LIMITED,FY2024-25,6.4687909,2.6287909000000003,3.84,"Karnataka, Maharashtra, Rajasthan, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
49,RAIL VIKAS NIGAM LIMITED,FY2024-25,13.4218854,1.241,12.1808854,"Andhra Pradesh, Delhi, Karnataka, Madhya Pradesh, Rajasthan, Tamil Nadu, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
50,HINDUJA LEYLAND FINANCE LIMITED,FY2024-25,4.7277315,4.7277315,0.0,"Maharashtra, Rajasthan, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
51,PRAKASH INDUSTRIES LIMITED,FY2024-25,4.6601865,4.6601865,0.0,"Chhattisgarh, Odisha, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
52,MANALI PETROCHEMICALS LIMITED,FY2024-25,4.644530387,4.3308,0.313730387,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
53,ANDHRA PAPER LIMITED,FY2024-25,4.33921229,4.33271229,0.0065,Andhra Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
54,SHREE CEMENT LIMITED,FY2024-25,4.2661546,4.2661546,0.0,"Andhra Pradesh, Bihar, Chhattisgarh, Haryana, Jharkhand, Odisha, Pan India, Rajasthan",PENDING,PENDING,PENDING,PENDING,,,,PENDING
55,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FY2024-25,6.3873374,1.809564,4.5777734,"Assam, Bihar, Jharkhand, Maharashtra, Odisha, Tamil Nadu, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
56,CHOWGULE AND COMPANY PRIVATE LIMITED.,FY2024-25,3.6831,3.6831,0.0,Goa,PENDING,PENDING,PENDING,PENDING,,,,PENDING
57,MYLAN LABORATORIES LIMITED,FY2024-25,3.7704723,2.9174352,0.8530371,"Karnataka, Madhya Pradesh, Maharashtra, Pan India, Tamil Nadu, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
58,IRCON INTERNATIONAL LIMITED,FY2024-25,5.1421629,1.4938734,3.6482895,"Andhra Pradesh, Bihar, Chhattisgarh, Jammu And Kashmir, Maharashtra, Odisha, Rajasthan, Sikkim, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
59,BSES RAJDHANI POWER LIMITED,FY2024-25,4.250998334,1.9933175,2.257680834,Delhi,PENDING,PENDING,PENDING,PENDING,,,,PENDING
60,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,FY2024-25,8.841133000000001,0.9621872,7.878945799999999,"Bihar, Delhi, Madhya Pradesh, Maharashtra, Pan India, Tamil Nadu, Uttar Pradesh, Uttarakhand, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
61,CENTRAL MINE PLANNING & DESIGN INSTITUTE LIMITED,FY2024-25,5.973615314,1.226978698,4.746636616,"Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
62,WPIL LIMITED,FY2024-25,3.2553488,3.2553488,0.0,West Bengal,PENDING,PENDING,PENDING,PENDING,,,,PENDING
63,BONAI INDUSTRIAL CO LTD,FY2024-25,3.3784415,2.8630015,0.51544,Odisha,PENDING,PENDING,PENDING,PENDING,,,,PENDING
64,AB INBEV GCC SERVICES INDIA PRIVATE LIMITED,FY2024-25,3.2501170000000004,3.224117,0.026,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
65,RITES LIMITED,FY2024-25,4.0641,1.7628,2.3013,"Andhra Pradesh, Bihar, Delhi, Gujarat, Jammu And Kashmir, Jharkhand, Rajasthan, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
66,THDC INDIA LIMITED,FY2024-25,4.744834,1.249306,3.495528,"Bihar, Madhya Pradesh, Uttar Pradesh, Uttarakhand",PENDING,PENDING,PENDING,PENDING,,,,PENDING
67,APOLLO TYRES LIMITED.,FY2024-25,4.4762123,1.2437806,3.2324317,"Andhra Pradesh, Gujarat, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
68,SOUTH-WEST MINING LIMITED,FY2024-25,3.2423689,2.3375796,0.9047893,"Andhra Pradesh, Karnataka, Pan India, Rajasthan",PENDING,PENDING,PENDING,PENDING,,,,PENDING
69,YAZAKI INDIA PRIVATE LIMITED,FY2024-25,2.98064,2.98064,0.0,"Jharkhand, Karnataka, Madhya Pradesh, Maharashtra, Rajasthan, Tamil Nadu, Uttarakhand",PENDING,PENDING,PENDING,PENDING,,,,PENDING
70,GENERAL INSURANCE CORPORATION OF INDIA,FY2024-25,4.4362032000000005,1.217375,3.2188282,"Chandigarh, Gujarat, Jharkhand, Karnataka, Maharashtra, Pan India, Tamil Nadu, Tripura, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
71,SYNGENTA INDIA PRIVATE LIMITED,FY2024-25,3.8416454,1.4684983,2.3731471,"Andhra Pradesh, Maharashtra, Pan India, Rajasthan, Telangana, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
72,GULF OIL LUBRICANTS INDIA LIMITED,FY2024-25,2.8877958,2.8877958,0.0,"Kerala, Pan India, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
73,DOLLAR INDUSTRIES LIMITED,FY2024-25,2.8578407,2.8578407,0.0,"Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
74,MMTC - PAMP INDIA PRIVATE LIMITED,FY2024-25,2.8275032,2.7466032,0.0809,Haryana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
75,AMBA RIVER COKE LIMITED,FY2024-25,2.9101367,2.2544995,0.6556372,Maharashtra,PENDING,PENDING,PENDING,PENDING,,,,PENDING
76,FEEGRADE & CO PVT LTD,FY2024-25,2.7633,2.6027,0.1606,Odisha,PENDING,PENDING,PENDING,PENDING,,,,PENDING
77,GHCL LIMITED,FY2024-25,2.6525407,2.6525407,0.0,Gujarat,PENDING,PENDING,PENDING,PENDING,,,,PENDING
78,FINOLEX INDUSTRIES LIMITED,FY2024-25,3.5031667,1.2516971,2.2514696,"Gujarat, Karnataka, Maharashtra, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
79,M.VENKATA RAO INFRA PROJECTS PRIVATE LIMITED (PART IX ),FY2024-25,2.6298047,2.2077047,0.4221,"Andhra Pradesh, Goa",PENDING,PENDING,PENDING,PENDING,,,,PENDING
80,OIL INDIA LIMITED,FY2023-24,101.756066039,2.3796646,99.376401439,"Andhra Pradesh, Arunachal Pradesh, Assam, Pan India, Rajasthan",PENDING,PENDING,PENDING,PENDING,,,,PENDING
81,ROCA BATHROOM PRODUCTS PRIVATE LIMITED,FY2023-24,16.3811,6.9207,9.4604,"Andhra Pradesh, Delhi, Haryana, Karnataka, Kerala, Madhya Pradesh, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand",PENDING,PENDING,PENDING,PENDING,,,,PENDING
82,NAVIN FLUORINE INTERNATIONAL LIMITED,FY2024-25,2.7979000000000003,1.7114,1.0865,"Madhya Pradesh, Maharashtra",PENDING,PENDING,PENDING,PENDING,,,,PENDING
83,RUNGTA MINES LIMITED,FY2023-24,11.627988043,9.458166772,2.169821271,"Jharkhand, Odisha, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
84,GOA SHIPYARD LIMITED,FY2024-25,5.957950343,0.595230726,5.362719617,"Goa, Maharashtra",PENDING,PENDING,PENDING,PENDING,,,,PENDING
85,JK LAKSHMI CEMENT LIMITED,FY2024-25,2.457774758,2.307774758,0.15,"Pan India, Rajasthan",PENDING,PENDING,PENDING,PENDING,,,,PENDING
86,NABHA POWER LIMITED,FY2024-25,3.432152555,1.0,2.432152555,Punjab,PENDING,PENDING,PENDING,PENDING,,,,PENDING
87,SBI CAPITAL MARKETS LIMITED,FY2024-25,2.7254882,1.5154999999999998,1.2099882,"Delhi, Maharashtra, Rajasthan, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
88,KARNATAKA RENEWABLE ENERGY DEVELOPMENT LIMITED,FY2024-25,2.41,2.21,0.2,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
89,CHAMBAL FERTILISERS AND CHEMICALS LIMITED,FY2024-25,2.752052876,1.382052876,1.37,"Haryana, Madhya Pradesh, Maharashtra, Punjab, Rajasthan",PENDING,PENDING,PENDING,PENDING,,,,PENDING
90,ESL STEEL LIMITED,FY2024-25,2.259730473,2.244743573,0.0149869,"Jharkhand, Odisha",PENDING,PENDING,PENDING,PENDING,,,,PENDING
91,BHARAT DYNAMICS LIMITED,FY2024-25,10.6904818,0.4412,10.2492818,"Andhra Pradesh, Pan India, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
92,WEST COAST PAPER MILLS LIMITED,FY2024-25,2.0817647,2.0817647,0.0,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
93,NTPC LIMITED,FY2024-25,115.178107021,24.02468187,91.153425151,"Andhra Pradesh, Assam, Bihar, Chhattisgarh, Delhi, Gujarat, Haryana, Himachal Pradesh, Jharkhand, Kerala, Madhya Pradesh, Maharashtra, Nagaland, Odisha, Pan India, Rajasthan, Telangana, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
94,SECURITY PRINTING AND MINTING CORPORATION OF INDIA LIMITED,FY2024-25,2.9073053,0.9369,1.9704053,"Maharashtra, Pan India, Telangana, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
95,ODISHA MINING CORPORATION LIMITED,FY2024-25,2.173924705,1.616316143,0.557608562,Odisha,PENDING,PENDING,PENDING,PENDING,,,,PENDING
96,LARSEN AND TOUBRO LIMITED,FY2023-24,12.3257667,2.0386721,10.2870946,"Gujarat, Maharashtra, Rajasthan, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
97,CHEMPLAST SANMAR LIMITED,FY2023-24,5.9942,5.9942,0.0,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
98,TAMILNAD MERCANTILE BANK LIMITED,FY2024-25,10.899646341,0.360973426,10.538672915,"Andhra Pradesh, Pan India, Tamil Nadu, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
99,GKN DRIVELINE (INDIA) LIMITED,FY2024-25,2.4974,1.0234,1.474,"Haryana, Maharashtra, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
100,KANAM LATEX INDUSTRIES PVT LTD,FY2024-25,2.0357657,1.4476423,0.5881234,"Kerala, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
101,CONTAINER CORPORATION OF INDIA LIMITED,FY2023-24,16.8069,1.3595,15.4474,"Bihar, Delhi, Gujarat, Haryana, Kerala, Maharashtra, Odisha, Pan India, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
102,GODAWARI POWER AND ISPAT LIMITED,FY2024-25,1.8788,1.8033,0.0755,Chhattisgarh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
