"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"Cargo Service Center India Private Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Del Pd-Pumps And Gears Private Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Anand Investment Private Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.08
"Anand Investment Private Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.08
"R S Technologies Private Limited","FY 2014-15",Non-PSU,Haryana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"V.S.Dempo Holdings Private Limited","FY 2014-15",Non-PSU,Goa,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.04
"Sopra India Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Ph4 Food & Beverages Private Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Ramkumar Morarka And Sons Private Limited","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Enco Engineers Combine Private Limited","FY 2014-15",Non-PSU,Haryana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Enco Engineers Combine (Plant Ii) Private Limited","FY 2014-15",Non-PSU,Haryana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.56
"Annai Builders Real Estates Private Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.16
"Hindustan Platinum Private Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Michelin India Private Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Jade Blue Lifestyle India Limited","FY 2014-15",Non-PSU,Telangana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Jade Blue Lifestyle India Limited","FY 2014-15",Non-PSU,"Madhya Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Jade Blue Lifestyle India Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Jade Blue Lifestyle India Limited","FY 2014-15",Non-PSU,Chhattisgarh,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Indian Railway Finance Corporation Limited","FY 2014-15",PSU,"NEC/Not Mentioned","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.34
